ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
001229,SZSE,Stock,Guangdong AVCiT Tech Hldg Co,001229,Guangdong Avcit Technology Holding Co Ltd. Class A,SZSE,stock,common,CNE100005JC1,Consumer Durables,Electronics/Appliances,China,False,True,name_mismatch
001239,SZSE,Stock,Xiangtan Yongda Mach Mnfg Co,001239,"Xiangtan Yongda Machinery Manufacturing Co., Ltd. Class A",SZSE,stock,common,CNE100006CJ9,Producer Manufacturing,Metal Fabrication,China,False,True,name_mismatch
001255,SZSE,Stock,Zhejiang Bofay Elec Co Ltd,001255,"Zhejiang Bofay Electric Co., Ltd. Class A",SZSE,stock,common,CNE100005KS5,Process Industries,Industrial Specialties,China,False,True,name_mismatch
001316,SZSE,Stock,Zhejiang XiaSha Precision,001316,"Lubair Aviation Technology Co., Ltd. Class A",SZSE,stock,common,CNE100005DM3,Distribution Services,Wholesale Distributors,China,False,True,name_mismatch
001366,SZSE,Stock,Boen Group Co. Ltd. Cl A,001366,"Boen Group Co., Ltd. Class A",SZSE,stock,common,CNE1000061K1,Process Industries,Agricultural Commodities/Milling,China,False,True,name_mismatch
001387,SZSE,Stock,Hefei Snowky Elec Co Ltd,001387,"Hefei Snowky Electric Co., Ltd. Class A",SZSE,stock,common,CNE100006D83,Consumer Durables,Electronics/Appliances,China,False,True,name_mismatch
001388,SZSE,Stock,Shandong Senter Electn Co Ltd,001388,"Shandong Senter Electronic Co., Ltd. Class A",SZSE,stock,common,CNE1000071J2,Electronic Technology,Aerospace & Defense,China,False,True,name_mismatch
00625K,TWSE,ETF,Fubon SSE180 Exchange Traded Fund,00625K,Fubon SSE180 ETF CNY,TWSE,fund,etf,TW00000625K4,Miscellaneous,Investment Trusts/Mutual Funds,Taiwan,False,True,name_mismatch
01001T,TWSE,ETF,Fubon No.1 Real Estate Investment Trust,01001T,Fubon No.1 Real Estate Investment Trust,TWSE,stock,common,TW00001001T8,Finance,Real Estate Investment Trusts,Taiwan,True,True,asset_type_mismatch
01007T,TWSE,ETF,Cathay No.2 REIT,01007T,Cathay No. 2 Real Estate Investment Trust,TWSE,stock,common,TW00001007T5,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
01009T,TWSE,ETF,O Bank No. 1 REIT,01009T,O-Bank No.1 Real Estate Investment Trust,TWSE,stock,common,TW00001009T1,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
01010T,TWSE,ETF,Millerful No. 1 REIT,01010T,Millerful No 1 Real Estate Investment Trust,TWSE,stock,common,TW00001010T9,Finance,Real Estate Investment Trusts,Taiwan,False,True,asset_type_mismatch
0NYY,LSE,Stock,Banco Comercial Portugues S/A,,,,,,,,,,False,False,no_tradingview_match
0P0001J2VW,LSE,Stock,Amundi Index Solutions - Amundi MSCI Europe SRI PAB ,,,,,,,,,,False,False,no_tradingview_match
0Y5F,LSE,Stock,Endo International PLC,,,,,,,,,,False,False,no_tradingview_match
1256,TWSE,Stock,鮮活控股股份有限公司,1256,"Sunjuice Holdings Co., Ltd.",TWSE,stock,common,KYG858681003,Consumer Non-Durables,Beverages: Non-Alcoholic,China,False,True,name_mismatch
1337,TWSE,Stock,亞洲塑膠再生資源控股有限公司,1337,Asia Plastic Recycling Holding Limited,TWSE,stock,common,KYG0539R1039,Producer Manufacturing,Miscellaneous Manufacturing,Taiwan,False,True,name_mismatch
1338,TWSE,Stock,廣華控股有限公司,1338,Hiroca Holdings Ltd.,TWSE,stock,common,KYG451001070,Producer Manufacturing,Auto Parts: OEM,China,False,True,name_mismatch
1340,TWSE,Stock,勝悅新材料有限公司,1340,Victory New Materials Ltd. Co.,TWSE,stock,common,KYG935971054,Consumer Non-Durables,Apparel/Footwear,China,False,True,name_mismatch
1341,TWSE,Stock,富林塑膠工業(開曼)控股(股)公司,1341,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",TWSE,stock,common,KYG3730M1050,Process Industries,Textiles,Vietnam,False,True,name_mismatch
1589,TWSE,Stock,永冠能源科技集團有限公司,,,,,,,,,,False,False,no_tradingview_match
1590,TWSE,Stock,亞德客國際集團,1590,Airtac International Group,TWSE,stock,common,KYG014081064,Producer Manufacturing,Industrial Machinery,Taiwan,False,True,name_mismatch
159001,SZSE,ETF,货币ETF易方达,159001,E FUND MANAGEMENT CO LTD,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159003,SZSE,ETF,招商快线ETF,159003,CHINA MERCHANTS FUND MANAGEMENT CO,SZSE,fund,etf,,Miscellaneous,Investment Trusts/Mutual Funds,China,False,False,missing_isin
159005,SZSE,ETF,快钱ETF汇添富,159005,China Universal Income fast money Money market Fund Class A Units,SZSE,fund,etf,CNE1000039J9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,name_mismatch
