ticker,isin,wkn
000001,CNE000000040,
000002,CNE0000000T2,
000004,CNE0000000Y2,
000006,CNE000000164,
000007,CNE0000000P0,
000008,CNE0000001C6,
000009,CNE000000222,
00001,KYG217651051,
000010,CNE000000156,
000011,CNE000000248,
000012,CNE0000002R2,
000014,CNE0000003G3,
000016,CNE0000002T8,
000017,CNE0000002Q4,
000019,CNE000000354,
00002,HK0002007356,
000021,CNE000000FK4,
000025,CNE0000008N8,
000026,CNE000000875,
000027,CNE000000933,
000028,CNE0000009N6,
000029,CNE0000009X5,
00003,HK0003000038,
000030,CNE0000009Z0,
000031,CNE000000BJ5,
000032,CNE000000BK3,
000034,CNE000000DQ6,
000035,CNE000000FN8,
000036,CNE000000G13,
000037,CNE000000G62,
000039,CNE000000644,
00004,HK0004000045,
000040,KR7000040006,
000042,CNE000000H53,
000045,CNE000000H61,
000048,CNE000000HD5,
000049,CNE0000000F1,
000055,CNE000000JY7,
000056,CNE000000297,
000058,CNE000000NR3,
000059,CNE000000NY9,
00006,HK0006000050,
000060,CNE000000FS7,
000061,CNE0000008V1,
000062,CNE0000008R9,
000063,CNE000000TK5,
000065,CNE000000VZ9,
000066,CNE000000RL7,
000068,CNE000000QV8,
000069,CNE000000SS0,
00007,BMG4643R1245,
000078,CNE000000X95,
00008,HK0008011667,
000080,KR7000080002,
000088,CNE000000SF7,
000089,CNE000000VK1,
000090,CNE000000F89,
000096,CNE000001410,
000099,CNE0000013Q1,
0000D0,KR70000D0009,
0000H0,KR70000H0005,
0000J0,KR70000J0003,
0000Y0,KR70000Y0004,
0000Z0,KR70000Z0003,
0001,MYQ0001OO006,A14QAZ
00010,HK0010000088,
000100,KR7000100008,
00012,HK0012000102,
000120,KR7000120006,
00014,HK0014000126,
000140,KR7000140004,
000150,KR7000150003,
000151,CNE0000014J4,
000153,CNE0000014X5,
000156,CNE0000014L0,
000158,CNE0000013X7,
000159,CNE0000014R7,
00016,HK0016000132,
000166,CNE100002FD4,
00017,HK0000608585,
00018,HK0018000155,
000180,KR7000180000,
00019,HK0019000162,
0001P0,KR70001P0004,
0001S0,KR70001S0001,
0002,MYQ0002OO004,
00020,KYG8062L1041,
00021,HK0000132420,
000210,KR7000210005,
00022,BMG6051D1175,
000220,KR7000220004,
00023,HK0023000190,
000230,KR7000230003,
000240,KR7000240002,
00025,BMG2097Z1471,
000250,KR7000250001,
00026,HK0026000205,
00027,HK0027032686,
000270,KR7000270009,
00028,HK0028013271,
00029,BMG2889K1678,
0002C0,KR70002C0008,
00030,BMG0865U1009,
000301,CNE0000012K6,
00031,HK0031044180,
00032,HK0032009356,
000320,KR7000320002,
00033,KYG0252B1115,
000333,CNE100001QQ5,
000338,CNE1000000D4,
00034,HK0034000254,
00035,KYG3307Z1090,
00036,HK0001095345,
00037,HK0037039283,
000370,KR7000370007,
00038,CNE100000320,
00039,KYG2117W1087,
000390,KR7000390005,
00040,HK0040000298,
000401,CNE000000GX5,
000402,CNE000000KT5,
000403,CNE000000F14,
000404,CNE000000KM0,
000407,CNE000000G88,
000408,CNE000000L08,
000409,CNE000000L40,
00041,BMG4069C1486,
000410,CNE0000008W9,
000411,CNE0000008D9,
000415,CNE0000009B1,
000417,CNE000000BV0,
000419,CNE000000LL0,
00042,CNE1000003V0,
000420,CNE0000008F4,
000421,CNE0000003L3,
000422,CNE0000009C9,
000423,CNE0000006Y9,
000425,CNE000000FH0,
000426,CNE000000D24,
000428,CNE000000LM8,
000429,CNE0000006Z6,
000440,KR7000440008,
00045,HK0045000319,
00046,BMG2335C1082,
00048,KYG211351500,
000480,KR7000480004,
000488,CNE0000015H5,
000490,KR7000490003,
000498,CNE0000009D7,
0004G0,KR70004G0002,
0004Y0,KR70004Y0000,
0005,MYQ0005OO007,
00050,HK0050000345,
000500,KR7000500009,
000501,CNE000000024,
000503,CNE000000255,
000504,CNE000000263,
000505,CNE0000002X0,
000506,CNE0000004D8,
000507,CNE000000149,
000509,CNE0000001G7,
00051,HK0051000351,
000510,CNE000000172,
000513,CNE0000002Y8,
000514,CNE0000004R8,
000516,CNE000000016,
000517,CNE0000000R6,
000518,CNE0000001P8,
000519,CNE000000198,
00052,BMG3305Y1619,
000521,CNE000000BT4,
000523,CNE0000005T1,
000524,CNE000000651,
000525,CNE0000002Z5,
000526,CNE0000005F0,
000528,CNE000000DB8,
000529,CNE0000002B6,
00053,BMG420981224,
000530,CNE000000DK9,
000531,CNE000000DS2,
000532,CNE0000002C4,
000533,CNE0000003T6,
000534,CNE0000004T4,
000536,CNE0000002D2,
000537,CNE000000271,
000538,CNE0000008X7,
000539,CNE0000006J0,
000540,KR7000540005,
000541,CNE000000DN3,
000543,CNE000000DF9,
000544,CNE000000F30,
000546,CNE0000004G1,
000547,CNE000000DM5,
000548,CNE000000DT0,
00055,BMG6433R1319,
000550,CNE000000CV8,
000551,CNE000000FP3,
000552,CNE000000D40,
000553,CNE0000004V0,
000554,CNE000000669,
000555,CNE000000FM0,
000557,CNE000000FQ1,
000558,CNE0000003V2,
000559,CNE000000FB3,
000560,CNE000000636,
000561,CNE0000005K0,
000563,CNE0000004F3,
000564,CNE0000003W0,
000565,CNE000000305,
000566,CNE0000004W8,
000567,CNE0000005V7,
000568,CNE000000GF2,
00057,BMG208741063,
000570,CNE000000GT3,
000571,CNE000000586,
000572,CNE0000006L6,
000573,CNE0000003D0,
000576,CNE0000005H6,
00058,BMG858331389,
000581,CNE0000002G5,
000582,CNE0000001M5,
000586,CNE0000000H7,
000589,CNE000000JH2,
00059,BMG8220B1476,
000591,CNE0000000K1,
000592,CNE0000009F2,
000593,CNE000000032,
000595,CNE000000K09,
000596,CNE000000MD5,
000597,CNE0000009G0,
000598,CNE000000HN4,
000599,CNE000000K17,
0005A0,KR70005A0007,
0005C0,KR70005C0005,
0005D0,KR70005D0004,
0005G0,KR70005G0001,
0006,MYQ0006OO005,
00060,HK0060028229,
000600,CNE000000FT5,
000601,CNE0000009H8,
000603,CNE000000H04,
000605,CNE000000LX5,
000607,CNE000000D65,
000608,CNE000000982,
000609,CNE0000007Z4,
00061,BMG4165P1187,
000610,CNE000000D73,
000612,CNE000000826,
