ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,decision
2WAV3,B3,Stock,2W ECOBANK S.A.,2WAV,,,,,,no_b3_code_match
A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,A,,,,,,no_b3_code_match
ADMF3,B3,Stock,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,ADMF,,,,,,no_b3_code_match
AGBK4,B3,Stock,BANCO AGIBANK S.A.,AGBK,,,,,,no_b3_code_match
AGRA4,B3,Stock,AGRALE S/A,AGRA,,,,,,no_b3_code_match
AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,AMZG,,,,,,no_b3_code_match
ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,ATEA,,,,,,no_b3_code_match
AUAU99,B3,Stock,UNIÃO PET PARTICIPAÇÕES S.A.,AUAU,,,,,,no_b3_code_match
BCEE3,B3,Stock,BANCO BESA S/A,BCEE,,,,,,no_b3_code_match
BCEE5,B3,Stock,BANCO BESA S/A,BCEE,,,,,,no_b3_code_match
BCPS3,B3,Stock,CLARO S.A.,BCPS,,,,,,no_b3_code_match
BCPS4,B3,Stock,CLARO S.A.,BCPS,,,,,,no_b3_code_match
BEGB4,B3,Stock,BANCO BERJ S.A.,BEGB,,,,,,no_b3_code_match
BETP3,B3,Stock,BETAPART PARTICIPACOES S.A.,BETP,,,,,,no_b3_code_match
BFFT3,B3,Stock,Bluefit Academias de Ginástica e Participações S.A,BFFT,,,,,,no_b3_code_match
BNAC3,B3,Stock,BANCO NACIONAL S/A,BNAC,,,,,,no_b3_code_match
BNAC4,B3,Stock,BANCO NACIONAL S/A,BNAC,,,,,,no_b3_code_match
BNRG3,B3,Stock,BRAZIL ENERGY S.A.,BNRG,,,,,,no_b3_code_match
BVEN3,B3,Stock,BOA VISTA ENERGIA S.A.,BVEN,,,,,,no_b3_code_match
C1GT3,B3,Stock,CELG TRANSMISSÃO S.A. - CELG T,C,,,,,,no_b3_code_match
C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,C,,,,,,no_b3_code_match
CBOH3,B3,Stock,CBO HOLDING S.A.,CBOH,,,,,,no_b3_code_match
CCAT3,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,CCAT,,,,,,no_b3_code_match
CCAT4,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,CCAT,,,,,,no_b3_code_match
CEAC3,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CEAC,,,,,,no_b3_code_match
CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CEAC,,,,,,no_b3_code_match
CEAG3,B3,Stock,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,CEAG,,,,,,no_b3_code_match
CEAL3,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,CEAL,,,,,,no_b3_code_match
CEAL4,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,CEAL,,,,,,no_b3_code_match
CEAP3,B3,Stock,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,CEAP,,,,,,no_b3_code_match
CEBD3,B3,Stock,Neoenergia Distribuicao Brasilia S.A,CEBD,,,,,,no_b3_code_match
