listing_key,ticker,exchange,asset_type,name,country,country_code,isin,instrument_scope,scope_reason,primary_listing_key,venue_status,evidence_level,evidence_sources,quality_status,quality_score,issue_count,issue_types,issues,recommended_action
SZSE::000001,000001,SZSE,Stock,Ping An Bank Co Ltd,China,CN,CNE000000040,core,primary_listing,SZSE::000001,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000002,000002,SZSE,Stock,China Vanke Co Ltd Class A,China,CN,CNE0000000T2,core,primary_listing,SZSE::000002,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000004,000004,SZSE,Stock,Shenzhen CAU Technology Co Ltd,China,CN,CNE0000000Y2,core,primary_listing,SZSE::000004,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000006,000006,SZSE,Stock,Shenzhen Zhenye Group Co Ltd,China,CN,CNE000000164,core,primary_listing,SZSE::000006,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000007,000007,SZSE,Stock,ShenZhen Zero-Seven Co Ltd,China,CN,CNE0000000P0,core,primary_listing,SZSE::000007,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000008,000008,SZSE,Stock,China High-Speed Railway Technology,China,CN,CNE0000001C6,core,primary_listing,SZSE::000008,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000009,000009,SZSE,Stock,China Baoan Group Co Ltd,China,CN,CNE000000222,core,primary_listing,SZSE::000009,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
HKEX::00001,00001,HKEX,Stock,CKH HOLDINGS,Cayman Islands,KY,KYG217651051,core,primary_listing,HKEX::00001,official_full,official_reference,official:HKEX:hkex_securities_list,pass,100,0,,[],none
SZSE::000010,000010,SZSE,Stock,Shenzhen Ecobeauty Co Ltd,China,CN,CNE000000156,core,primary_listing,SZSE::000010,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000011,000011,SZSE,Stock,Shenzhen Properties & Resources Development Group Ltd,China,CN,CNE000000248,core,primary_listing,SZSE::000011,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000012,000012,SZSE,Stock,CSG Holding Co Ltd,China,CN,CNE0000002R2,core,primary_listing,SZSE::000012,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000014,000014,SZSE,Stock,Shahe Industry Co Ltd,China,CN,CNE0000003G3,core,primary_listing,SZSE::000014,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000016,000016,SZSE,Stock,Konka Group Co Ltd,China,CN,CNE0000002T8,core,primary_listing,SZSE::000016,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000017,000017,SZSE,Stock,China Bicycle Co Holdings Ltd,China,CN,CNE0000002Q4,core,primary_listing,SZSE::000017,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000019,000019,SZSE,Stock,Shenzhen Shenbao Industrial Co Ltd,China,CN,CNE000000354,core,primary_listing,SZSE::000019,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
HKEX::00002,00002,HKEX,Stock,CLP HOLDINGS,Hong Kong,HK,HK0002007356,core,primary_listing,HKEX::00002,official_full,official_reference,official:HKEX:hkex_securities_list,pass,100,0,,[],none
SZSE::000021,000021,SZSE,Stock,Shenzhen Kaifa Technology Co Ltd,China,CN,CNE000000FK4,core,primary_listing,SZSE::000021,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000025,000025,SZSE,Stock,Shenzhen Tellus Holding Co Ltd,China,CN,CNE0000008N8,core,primary_listing,SZSE::000025,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
SZSE::000026,000026,SZSE,Stock,Fiyta Holdings Ltd,China,CN,CNE000000875,core,primary_listing,SZSE::000026,official_partial,official_reference,official:SZSE:szse_a_share_list,pass,100,0,,[],none
