ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,isin_update,sector_update,decision,source_url
001229,SZSE,Stock,Guangdong AVCiT Tech Hldg Co,001229,"Guangdong AVCiT Technology Holding Co., Ltd.",CNE100005JC1,Technology,Consumer Electronics,CNE100005JC1,,accept,https://stockanalysis.com/quote/she/001229/
001239,SZSE,Stock,Xiangtan Yongda Mach Mnfg Co,001239,"Xiangtan Yongda Machinery Manufacturing Co., Ltd.",CNE100006CJ9,Industrials,Metal Fabrication,CNE100006CJ9,,accept,https://stockanalysis.com/quote/she/001239/
001255,SZSE,Stock,Zhejiang Bofay Elec Co Ltd,001255,"Zhejiang Bofay Electric Co., Ltd.",CNE100005KS5,Materials,Specialty Chemicals,CNE100005KS5,,accept,https://stockanalysis.com/quote/she/001255/
001316,SZSE,Stock,Zhejiang XiaSha Precision,001316,"Lubair Aviation Technology Co., Ltd.",CNE100005DM3,Industrials,Aerospace & Defense,,,name_mismatch,https://stockanalysis.com/quote/she/001316/
001366,SZSE,Stock,Boen Group Co. Ltd. Cl A,001366,"Boen Group Co., Ltd.",,Consumer Staples,Farm Products,,,no_update,https://stockanalysis.com/quote/she/001366/
001387,SZSE,Stock,Hefei Snowky Elec Co Ltd,001387,"Hefei Snowky Electric Co., Ltd.",CNE100006D83,Consumer Discretionary,"Furnishings, Fixtures & Appliances",CNE100006D83,,accept,https://stockanalysis.com/quote/she/001387/
001388,SZSE,Stock,Shandong Senter Electn Co Ltd,001388,"Shandong Senter Electronic Co.,Ltd.",CNE1000071J2,Technology,Computer Hardware,CNE1000071J2,,accept,https://stockanalysis.com/quote/she/001388/
09II,LSE,Stock,DR ING HC F PORSCHE AG DR. ING. H.C. F. PORSCHE AG INHABER-VOR,,,,,,,,no_symbol_match,
0A0J,LSE,Stock,AAK AB,0A0J,AAK AB (publ.),SE0011337708,,Fats And Oils,,,no_update,https://stockanalysis.com/quote/lon/0A0J/
0A2T,LSE,Stock,High Templar Tech Limited,0A2T,High Templar Tech Limited,US7477981069,,Personal Credit Institutions,,,no_update,https://stockanalysis.com/quote/lon/0A2T/
0A2Y,LSE,Stock,"Telefónica, S.A.",0A2Y,"Telefónica, S.A.",US8793822086,,Radiotelephone Communications,,,no_update,https://stockanalysis.com/quote/lon/0A2Y/
0A3S,LSE,Stock,Novavax Inc.,0A3S,"Novavax, Inc.",,,"Biological Products, Except Diagnostic Substances",,,no_update,https://stockanalysis.com/quote/lon/0A3S/
